Id,hate,statuses_count,followers_count,followees_count,favorites_count,listed_count,sentiment,subjectivity,number hashtags,tweet number,retweet number,quote number,status length
0,normal,101767,3504,3673,81635,53,0.035131667,0.43165619,16,121,79,5,75.565
14,other,109833,7629,6343,104280,189,0.102182336,0.506332927,120,14,186,2,138.595
46,other,13000,8463,1210,1621,195,0.071726907,0.421490778,45,98,102,48,146.78
48,other,111972,83306,81,55044,618,0.109616331,0.551242118,8,179,20,61,106.879397
59,other,2432,2631,4151,4562,15,0.140065898,0.490794755,169,77,123,7,125.365
71,other,24217,108484,2301,121170,510,0.062754148,0.49159359,12,122,78,10,110.235
82,other,19188,328782,632,28464,335,0.052602166,0.588542363,2,199,1,1,70.25
140,other,6260,13983,274,52186,127,0.105548644,0.442767763,7,88,110,21,117.2222222
159,other,2418,5566,1143,44718,13,0.019026015,0.545657545,120,175,25,118,196.645
160,other,24871,73407,4708,7614,1599,0.100776356,0.460967439,16,94,106,41,155.21
164,other,7448,10588,260,131,444,0.030254826,0.357258358,80,155,45,0,130.84
196,other,41696,18929,5366,10269,117,0.0154136,0.549171861,5,88,110,3,63.09090909
200,other,55547,3151,448,773,78,0.098757259,0.534272329,25,146,54,71,111.635
236,other,113616,651988,3902,41320,7807,0.043693677,0.50862425,26,166,34,22,110.13
241,other,14464,24010,6683,19933,39,0.114008641,0.528154023,83,146,54,15,102.945
258,other,25601,291432,263784,3075,1812,0.034891922,0.484206561,14,199,1,0,106.01
259,other,52223,2255,456,60562,68,-0.069715877,0.534374763,19,132,67,44,80.55276382
269,normal,5348,7061,5928,21727,74,0.035589732,0.510345834,49,56,144,25,126.38
292,other,2774,279957,151,323,768,0.129251281,0.573078654,1,196,3,0,69.87939698
297,other,75769,3887,3811,703,52,0.10676707,0.485883864,256,18,182,0,143.655
298,other,111708,9039,9888,69538,105,0.083770667,0.50131253,143,8,192,0,123.225
309,other,95035,36823,11140,92169,176,0.082299265,0.524380485,226,7,193,0,142.4
337,other,42601,1463447,2555,386506,17639,0.096248071,0.5213996,20,92,108,30,113.295
367,other,19535,2248,439,12889,95,0.090687731,0.55151298,18,147,53,7,102.005
390,other,5933,7942,311,1304,84,0.304712186,0.517316701,27,158,42,1,106.32
397,other,25167,5895,1398,7977,229,0.105505645,0.495006578,134,167,33,24,78.135
405,hateful,2450,2745,275,5007,11,0.042396251,0.460717289,24,139,51,48,109.8210526
412,other,28611,1166015,537,2370,8325,0.186541314,0.470063545,249,142,58,0,129.87
414,other,37687,22726,2443,5259,463,0.112551334,0.536374335,102,91,109,18,141.34
512,other,14258,6600,139,922,106,0.056521675,0.491194163,5,196,4,3,123.825
528,hateful,115806,4897,4990,90041,126,0.045241291,0.472676641,45,82,118,0,118.07
550,other,3941,773,819,1784,5,0.087425757,0.517050372,9,187,13,22,99.17
556,other,73250,1690,238,3335,28,0.098574065,0.515092731,19,123,77,18,71.455
564,other,15188,161730,515,13884,2188,0.124877235,0.469468869,42,139,61,33,134.475
572,hateful,3188,348,554,879,2,0.040062635,0.468244532,27,107,92,22,93.84422111
590,other,6979,111627,419,601,467,0.174988817,0.482727877,12,194,6,1,115.635
624,other,92233,32630,6210,78704,246,0.118366581,0.506658831,237,9,191,0,131.08
643,other,17599,85925,1553,4361,2034,0.067962365,0.439833322,19,182,18,0,127.455
679,other,50816,1068238,1191,11494,6948,0.069516514,0.584532833,13,178,22,11,108.715
680,other,26351,155972,2334,6071,2133,0.136172756,0.534567047,7,162,38,32,123.595
682,other,640925,5750,2236,8774,123,0.157858069,0.598377563,5,158,42,59,68.99
718,hateful,8715,1681,430,17080,11,0.07120299,0.552134175,35,140,59,18,86.30150754
736,other,33957,8994,821,18924,244,0.038430675,0.523951202,7,165,34,7,96.60301508
737,other,9319,6199,2733,10446,46,0.092017081,0.51434773,95,119,80,1,120.9296482
759,other,15004,1800,470,43214,18,0.08879889,0.521779406,12,135,65,7,80.575
761,other,8368,22174,1635,17226,227,0.155884802,0.533517896,34,178,22,69,123.835
770,other,27739,5271,262,31070,57,0.039291989,0.495392754,5,170,30,36,116.02
779,other,124316,39991,5786,74791,610,0.104918087,0.5081503,78,134,66,71,139.575
792,other,184,208181,168,3,1088,0.129347042,0.453630493,71,182,2,8,151.6467391
830,other,99723,12172,9724,23624,75,-0.004996148,0.407520943,40,187,13,0,105.185
850,other,12929,519691,653,799,547,0.184878009,0.424818359,82,43,157,9,130.985
872,other,125658,130422,442,9,5358,0.136281998,0.557341823,11,173,27,28,93.535
880,other,1779,238932,82,9,325,0.081451399,0.564229093,0,197,3,0,67.635
884,other,158,4188,98,1127,19,0.113593057,0.533210646,0,153,5,2,67.25316456
888,other,65414,25768,2550,42604,512,0.046910158,0.48895754,22,140,60,24,115.02
895,hateful,22492,4227,13,2,101,0.045734789,0.40815704,4,183,17,1,155.795
904,other,83485,24687,1766,7846,329,0.031904805,0.536568109,9,189,11,30,103.29
912,other,3516,5913,3434,26688,95,0.08553523,0.541071787,3,113,86,7,92.53768844
916,other,106871,12821,12320,119542,85,0.076085735,0.513737389,150,32,168,1,170.295
940,other,45895,1612,264,32991,31,0.094257849,0.5258462,5,143,57,14,96.565
963,other,164340,18280,1772,186791,270,0.082423203,0.531743674,3,13,187,0,93.025
995,other,23724,102587,3168,17159,1125,0.115312374,0.471227815,308,131,69,37,128.85
1003,other,1260,522,180,1346,2,0.022476842,0.54324142,2,144,53,14,72.08121827
1008,other,48900,86169,113,98,1543,0.037902513,0.464715303,27,156,44,22,128.87
1060,other,377933,26850,17064,23973,282,0.269049055,0.538844425,19,197,3,0,88.57
1080,other,64093,54012,7611,14618,1001,0.08277669,0.45597255,37,190,10,62,165.47
1139,other,6468,1241,414,4044,10,0.122510422,0.556949923,125,81,119,43,142.77
1163,other,22294,31764,6605,22977,264,-0.049860154,0.407412245,86,62,136,10,144.1868687
1202,other,1104,122507,12,7,1912,0.067586109,0.418614726,0,200,0,0,78.785
1224,other,328804,223693,390,3,9648,0.139343806,0.446454651,92,156,44,4,118.09
1225,other,10878,2990,186,65913,29,0.093519884,0.537554418,1,132,67,14,83.3718593
1227,other,68793,11268,7016,7124,364,0.062179706,0.53766216,10,109,91,1,130.92
1236,other,2687,4748668,9,4,5764,0.128214103,0.388687429,71,137,63,27,161.975
1292,other,126125,15896,10562,22210,250,0.136457019,0.575349474,6,87,111,53,93.93434343
1314,normal,96891,25642,25167,13114,330,0.011518883,0.442247537,52,174,26,1,76.22
1316,other,18657,6994,351,1748,105,0.08832737,0.494766067,10,180,20,44,107.575
1324,other,8290,2279,393,3111,55,0.066000417,0.547062442,8,56,141,21,89.88324873
1368,normal,8586,747,785,15360,9,-0.000241425,0.56197167,81,166,34,6,96.125
1371,other,44071,1216462,385,6841,5720,0.10370752,0.377474834,16,169,31,2,83.665
1403,other,129138,15879,17444,80504,212,0.129238639,0.512776564,102,14,186,2,120.895
1405,other,3393,2785,111,721,49,0.119213626,0.441194952,14,119,81,5,129.845
1422,other,24233,658265,5301,657,4522,0.041107409,0.438807525,68,69,131,18,137.635
