Id,Label,timeset,hate,statuses_count,followers_count,followees_count,favorites_count,listed_count,number hashtags,tweet number,retweet number,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree
0,0,,normal,101767,3504,3673,81635,53,16,121,79,7,0,8,0.20438,0.213772,0,0,1,1,0,0.000303,0,1,1
14,14,,other,109833,7629,6343,104280,189,120,14,186,9,0,6,0.252666,0.265152,0,0,1,1,0,0,0,1,1
46,46,,other,13000,8463,1210,1621,195,45,98,102,2,0,9,0.170436,0.178442,0,0,1,1,0,0,0,1,1
48,48,,other,111972,83306,81,55044,618,8,179,20,5,0,1,1,1,0,0,1,1,0,0,0,1,1
59,59,,other,2432,2631,4151,4562,15,169,77,123,0,0,1,1,1,0,0,1,1,0,0,0,1,1
71,71,,other,24217,108484,2301,121170,510,12,122,78,8,0,1,1,1,0,0,1,1,0,0,0,1,1
82,82,,other,19188,328782,632,28464,335,2,199,1,18,0,1,1,1,0,0,1,1,0,0,0,1,1
140,140,,other,6260,13983,274,52186,127,7,88,110,9,0,4,0.506579,0.580898,0,0,69,69,0,0,0,69,69
159,159,,other,2418,5566,1143,44718,13,120,175,25,0,0,1,1,1,0,0,1,1,0,0,0,1,1
160,160,,other,24871,73407,4708,7614,1599,16,94,106,9,0,7,0.217514,0.228904,0,0,1,1,0,0,0,1,1
164,164,,other,7448,10588,260,131,444,80,155,45,5,0,1,1,1,0,0,1,1,0,0,0,1,1
196,196,,other,41696,18929,5366,10269,117,5,88,110,4,0,1,1,1,0,0,1,1,0,0,0,1,1
200,200,,other,55547,3151,448,773,78,25,146,54,4,0,1,1,1,0,0,1,1,0,0,0,1,1
236,236,,other,113616,651988,3902,41320,7807,26,166,34,0,0,7,0.258735,0.279192,0,0,4,4,0,0,0,4,4
241,241,,other,14464,24010,6683,19933,39,83,146,54,2,0,6,0.329073,0.357605,0,0,5,5,0,0,0,5,5
258,258,,other,25601,291432,263784,3075,1812,14,199,1,8,0,1,1,1,0,0,2,2,0,0,0,2,2
259,259,,other,52223,2255,456,60562,68,19,132,67,7,0,7,0.237838,0.251994,0,0,2,2,0,0,0,2,2
269,269,,normal,5348,7061,5928,21727,74,49,56,144,0,0,5,0.296296,0.35,0,0,1,1,0,0.000091,0,1,1
292,292,,other,2774,279957,151,323,768,1,196,3,4,0,1,1,1,0,0,2,2,0,0,0,2,2
297,297,,other,75769,3887,3811,703,52,256,18,182,10,0,1,1,1,0,0,1,1,0,0,0,1,1
298,298,,other,111708,9039,9888,69538,105,143,8,192,18,0,9,0.166399,0.176749,0,0,1,1,0,0,0,1,1
309,309,,other,95035,36823,11140,92169,176,226,7,193,9,0,9,0.175499,0.185422,0,0,1,1,0,0,0,1,1
337,337,,other,42601,1463447,2555,386506,17639,20,92,108,5,0,1,1,1,0,0,2,2,0,0,0,2,2
367,367,,other,19535,2248,439,12889,95,18,147,53,8,0,1,1,1,0,0,3,3,0,0,0,3,3
390,390,,other,5933,7942,311,1304,84,27,158,42,8,0,1,1,1,0,0,2,2,0,0,0,2,2
397,397,,other,25167,5895,1398,7977,229,134,167,33,5,0,1,1,1,0,0,1,1,0,0,0,1,1
405,405,,hateful,2450,2745,275,5007,11,24,139,51,9,0.007018,6,0.29922,0.340282,1104.304234,19,13,32,0.091557,0.044618,19,13,32
412,412,,other,28611,1166015,537,2370,8325,249,142,58,9,0,1,1,1,0,0,1,1,0,0,0,1,1
414,414,,other,37687,22726,2443,5259,463,102,91,109,5,0,1,1,1,0,0,1,1,0,0,0,1,1
512,512,,other,14258,6600,139,922,106,5,196,4,0,0,1,1,1,0,0,1,1,0,0,0,1,1
528,528,,hateful,115806,4897,4990,90041,126,45,82,118,0,0.000567,0,0,0,0,1,0,1,0.000613,0,1,0,1
550,550,,other,3941,773,819,1784,5,9,187,13,0,0,1,1,1,0,0,1,1,0,0,0,1,1
556,556,,other,73250,1690,238,3335,28,19,123,77,4,0,1,1,1,0,0,1,1,0,0,0,1,1
564,564,,other,15188,161730,515,13884,2188,42,139,61,5,0,1,1,1,0,0,1,1,0,0,0,1,1
572,572,,hateful,3188,348,554,879,2,27,107,92,9,0.002433,6,0.271441,0.295223,82.565611,17,5,22,0.09268,0.01565,17,5,22
590,590,,other,6979,111627,419,601,467,12,194,6,4,0,1,1,1,0,0,3,3,0,0,0,3,3
624,624,,other,92233,32630,6210,78704,246,237,9,191,18,0,8,0.207723,0.226988,0,0,6,6,0,0,0,6,6
643,643,,other,17599,85925,1553,4361,2034,19,182,18,9,0,7,0.227979,0.244264,0,0,1,1,0,0,0,1,1
679,679,,other,50816,1068238,1191,11494,6948,13,178,22,18,0,1,1,1,0,0,1,1,0,0,0,1,1
680,680,,other,26351,155972,2334,6071,2133,7,162,38,5,0,1,1,1,0,0,1,1,0,0,0,1,1
682,682,,other,640925,5750,2236,8774,123,5,158,42,20,0,1,1,1,0,0,1,1,0,0,0,1,1
718,718,,hateful,8715,1681,430,17080,11,35,140,59,9,0.010092,6,0.336623,0.386808,1878.101896,12,16,28,0.041118,0.043611,12,16,28
736,736,,other,33957,8994,821,18924,244,7,165,34,7,0,7,0.220872,0.232147,0,0,1,1,0,0,0,1,1
737,737,,other,9319,6199,2733,10446,46,95,119,80,9,0,5,0.398448,0.443885,0,0,18,18,0,0,0,18,18
759,759,,other,15004,1800,470,43214,18,12,135,65,7,0,10,0.136847,0.143453,0,0,1,1,0,0,0,1,1
761,761,,other,8368,22174,1635,17226,227,34,178,22,0,0,1,1,1,0,0,1,1,0,0,0,1,1
