source,target
31134,48804
56761,88851
14549,28303
14549,18722
14549,25883
14549,14333
14549,27804
14549,27622
14549,83817
14549,72543
14549,61455
14549,18834
14549,70847
14549,72416
14549,32338
14549,2607
14549,83565
14549,20645
14549,52583
14549,65806
14549,23681
14549,38575
14549,85280
14549,87450
14549,3011
14549,22128
14549,77620
14549,46646
14549,44972
14549,35101
14549,79834
14549,25264
14549,85370
14549,17326
14549,14692
14549,8857
14549,17868
14549,21673
14549,58212
14549,97829
16990,21369
42234,54143
42234,6460
42234,100385
20483,63385
20483,14786
20483,94916
20483,42652
20483,51268
20483,52890
20483,73419
20483,45821
20483,26561
20483,20840
20483,27851
20483,39645
43047,9196
43047,25543
68062,26772
83806,16004
83806,44972
83806,22382
83806,57580
83806,61914
83806,15874
83806,95118
83806,62707
83806,43619
36035,27851
36035,50462
50037,77878
50037,13840
50037,9433
50037,19102
590,37474
590,46422
590,67138
590,40363
590,82439
590,93694
590,54657
590,94797
590,51506
590,10800
590,94473
58315,43701
27269,24458
11070,59932
10337,38486
10337,46084
10337,94634
36473,55196
57735,11062
57735,50405
19504,61176
19504,13156
19504,42159
19504,27707
19504,64562
19504,31764
53780,52077
89902,94663
6582,84396
91229,95713
91229,60247
1635,48253
9078,80856
9078,31764
9078,23681
9078,70551
9078,73565
9702,94610
9702,97466
9702,96436
9702,27957
841,41069
39345,20806
42590,15570
4151,34521
4151,68111
79568,46032
60788,46653
60788,36114
60788,62588
81701,74646
61434,17795
61434,7180
61434,79520
61434,89143
61434,19611
61434,4007
61434,42785
37439,5718
37439,19701
37439,69442
37439,37615
16207,53215
44998,99365
44998,2949
44998,5816
44998,71851
44998,73290
44998,66544
44998,14333
44998,63164
81471,46868
81471,11818
81471,9838
81471,39621
81471,49239
81471,41069
81471,58212
81471,59825
81471,75422
81471,88443
81471,91747
47571,97393
47571,20554
47571,15530
47571,52820
47571,19816
18114,2500
18114,27087
90923,39762
90923,78504
15380,97851
15380,31716
82334,56004
82334,25169
6643,46504
6643,81723
83290,27800
83290,69676
83290,89738
83290,36114
83290,98621
83290,1108
83290,66573
83290,68173
83290,57949
83290,26356
18131,65610
18131,33674
18131,58671
18131,87450
30046,90127
30046,20977
30046,91475
30046,97287
30046,42306
30046,37265
74524,58457
78798,38291
46084,2500
46084,588
46084,51856
41896,82709
41896,99929
41896,25096
41896,83703
41896,21474
97402,61841
97402,39618
97402,1228
97402,89157
97402,21858
97402,142
97402,50361
97402,80979
97402,34813
97402,24278
97402,97754
97402,58286
52965,79244
85876,38991
65099,90247
65099,5983
65099,25487
65099,21577
65099,56904
65099,85890
60488,31594
65775,88027
65775,60960
20965,90970
79022,50913
79022,9335
79022,4832
79789,36323
95449,12366
4067,54143
4067,76783
4067,6460
4067,100385
20089,22723
48390,38236
44865,93108
44865,35643
44865,28174
36925,22611
36925,74195
57504,40899
57504,20022
57504,36367
57504,4081
57504,43825
57504,6193
57504,91666
57504,28874
6183,66304
6183,44345
44096,59274
44096,75282
44096,95471
60849,58746
60849,63659
60849,69676
86137,72255
19928,41069
32415,38498
32415,87983
51373,85835
51373,38033
51373,83096
51373,94861
12478,71653
33848,17704
59202,92681
59202,61944
59202,42302
46193,73664
46193,41086
46193,42652
95681,4966
95681,59785
95681,39871
95681,53215
95681,88046
95681,80982
95681,56174
95681,88181
61452,17636
61452,90122
85574,63195
912,54031
57740,79190
57740,22971
57740,49216
57740,4492
92080,76070
92080,51201
34365,12162
29165,2677
29165,31336
45793,47674
49517,89573
49517,27290
49517,63200
49517,14671
49517,25210
80936,97868
80936,10251
80936,41060
71885,8179
71885,99095
71885,31833
71885,33703
71885,10872
71885,18916
71885,72622
71885,31375
71885,43665
71885,23528
71885,31702
71885,32666
57406,74532
57406,16487
57406,38587
57406,17517
57406,50313
57406,17320
57406,22382
57406,55692
47603,47679
47603,45271
21409,86471
95604,28605
95604,94186
95604,87138
95604,83135
95604,10881
95604,58658
95604,99476
95604,73325
95604,12850
95604,52531
95604,39202
95604,45313
95604,54657
95604,95125
95604,56228
95604,12242
71803,30788
17409,10721
22707,21617
22707,99912
22707,82527
22707,89202
22707,13894
22707,83495
26252,53868
50185,8782
50185,53650
32656,5983
32656,80856
91839,7139
9434,33834
24963,25322
24963,4391
6730,27622
6730,38909
6730,15252
6730,58048
63039,11818
63039,95278
63039,6109
63039,82672
70174,91480
70174,80856
37951,82158
83670,94464
83670,8480
83670,23528
83670,82925
83670,86144
83670,5348
83670,28775
83670,70518
83670,82260
83670,28749
83670,15207
83670,18916
83670,31375
83670,44
83670,88430
83670,80716
83670,31833
83670,21474
83670,14377
75615,83249
58812,95692
52685,14786
52685,63117
52685,23990
52685,96711
52685,49637
52685,14726
52685,23450
52685,93937
52685,90234
52685,63659
82939,93455
13082,18855
13082,45093
13082,4259
13082,69581
13082,16769
13082,51668
13082,33340
3572,53465
3572,75422
3572,56723
3572,74844
3572,78410
3572,50758
3572,44480
3572,52250
3572,23377
3572,21263
3572,79631
3572,80293
3572,34633
3572,67585
3572,21617
3572,94475
3572,99165
3572,91337
3572,5835
3572,41352
3572,88046
3572,9941
3572,48634
3572,45232
3572,69409
3572,35775
47036,86365
47036,61455
47036,35352
24445,7748
24445,28174
20549,76230
72312,79902
72312,37534
72312,70777
72312,42382
74714,56329
89061,62646
36556,10251
36556,51828
36556,29058
33896,37750
47723,11815
5996,18911
23538,72973
19276,53599
75143,11815
75143,61242
75143,25404
75143,89223
75143,8151
75143,87450
75143,72987
75143,49481
75143,98222
75143,7333
75143,1214
75143,44450
2555,99938
2555,76089
24907,2200
1174,69483
17704,44343
17704,45330
17704,29118
17704,37826
17704,21609
17704,43217
17704,95078
17704,75926
17704,66427
17704,45654
17704,60960
17704,84266
17704,38948
17704,7960
17704,8981
17704,24275
17704,65407
17704,25322
17704,14205
65806,85445
76830,528
97653,49967
97653,2607
95394,63309
95394,46224
95394,40024
95394,34322
95394,52712
95394,40988
95394,63228
95394,24756
95394,85391
95394,43379
95394,43417
95394,58322
93868,28738
93868,63620
31934,28068
31934,98381
86031,28196
86031,5848
