Id,hate,statuses_count,followers_count,followees_count,favorites_count,listed_count,sentiment,subjectivity,number hashtags,tweet number,retweet number,quote number,status length,number urls,baddies
0,normal,101767,3504,3673,81635,53,0.035131667,0.43165619,16,121,79,5,75.565,82,18
6,other,1136,2916,4594,47,3,0.028121288,0.493777374,19,194,6,2,108.84,36,16
7,other,20488,5980,2225,1422,356,0.067465877,0.465056856,58,171,29,39,125.985,153,15
12,other,18165,791860,91,472,597,0.119379311,0.408685183,106,44,156,19,116.91,159,9
14,other,109833,7629,6343,104280,189,0.102182336,0.506332927,120,14,186,2,138.595,172,36
16,other,66730,14233,2077,31927,85,0.162363235,0.591930368,1,143,57,21,74.28,94,29
17,other,8933,16714,2548,1940,354,0.230279457,0.554027172,133,165,35,7,117.105,138,15
19,other,5374,5151,5644,6571,3,0.114975857,0.41749075,60,160,40,102,137.285,235,11
22,normal,111948,1586,997,80,7,0.136935753,0.593403296,4,187,13,54,56.175,74,17
27,other,2158,86,357,894,3,0.131110938,0.506658779,63,98,102,14,104.23,92,15
29,normal,28222,27545,282,916,499,0.094793532,0.498915561,22,178,22,29,131.685,108,26
30,other,801,174,177,1853,13,0.218115934,0.474032927,153,136,64,30,136.175,152,29
32,other,61294,5885,2951,16721,123,0.099870508,0.472213081,134,159,41,13,109.935,172,19
34,other,12168,242178,393,3263,1354,0.069702419,0.389485192,163,157,43,24,145.95,202,28
36,other,69243,5757,6174,10022,21,0.082055224,0.50703015,20,57,141,23,68.64141414,152,36
37,other,23730,19361,666,2660,1003,0.113749232,0.508269071,123,192,8,7,91.755,76,14
39,other,27486,187274,2597,16752,1432,0.07638507,0.460640313,40,146,53,84,168.0904523,220,37
41,other,5916,34362,123,187,1060,0.107381562,0.413452462,394,176,24,9,139.48,212,21
42,other,3487,778,731,517,45,0.050594715,0.528219182,60,91,109,21,131.41,168,12
44,normal,3101,2173,923,1193,11,0.121539386,0.409920877,87,55,145,6,135.485,188,18
46,other,13000,8463,1210,1621,195,0.071726907,0.421490778,45,98,102,48,146.78,226,29
48,other,111972,83306,81,55044,618,0.109616331,0.551242118,8,179,20,61,106.879397,112,90
55,other,9817,2854,138,5544,50,0.060791948,0.44961257,14,170,30,48,160.86,147,32
57,other,323,181,137,481,0,0.064135908,0.474457079,146,131,69,10,94.935,69,10
58,other,60838,1118876,7355,17717,6022,0.132240157,0.401446506,46,174,26,2,78.855,151,8
59,other,2432,2631,4151,4562,15,0.140065898,0.490794755,169,77,123,7,125.365,187,18
63,other,127475,33415,1811,1059,171,0.108135003,0.428896842,39,150,50,25,75.72,104,17
66,other,19984,1393397,482,573,2114,0.343564312,0.519015745,6,195,5,0,77.67,203,14
71,other,24217,108484,2301,121170,510,0.062754148,0.49159359,12,122,78,10,110.235,98,19
77,other,174653,22781,1165,117220,39,0.158072917,0.41484375,55,133,67,11,115.495,58,16
78,other,43616,22081,492,42181,67,0.045451546,0.486131743,218,47,153,13,126.96,168,10
81,other,69302,5995,87,18495,25,0.037706137,0.484853705,214,10,190,0,109.605,166,8
82,other,19188,328782,632,28464,335,0.052602166,0.588542363,2,199,1,1,70.25,51,26
83,other,4960,2614,888,7509,49,0.053437493,0.483289754,9,155,45,32,127.2,156,25
