Id,Label,timeset,hate,statuses_count,followers_count,followees_count,favorites_count,listed_count,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,pageranks
0,,,normal,101767,3504,3673,81635,53,0,1,1,1,1,1,0,113,0,0.000214,0.000139
6,,,other,1136,2916,4594,47,3,0,3,3,13,0.154524,0.185746,0,113,0,0.006241,0
7,,,other,20488,5980,2225,1422,356,0,1,1,2,0.666667,0.75,0,146,0,0.000345,0
12,,,other,18165,791860,91,472,597,0,4,4,2,0.75,0.833333,0,97,0,0.000019,0
16,,,other,66730,14233,2077,31927,85,0,1,1,1,1,1,0,137,0,0.000089,0
17,,,other,8933,16714,2548,1940,354,0,1,1,1,1,1,0,111,0,0,0
19,,,other,5374,5151,5644,6571,3,0,1,1,2,0.666667,0.75,0,113,0,0.002011,0
22,,,normal,111948,1586,997,80,7,0,0,0,0,0,0,0,137,0,0,0.000139
27,,,other,2158,86,357,894,3,0,1,1,1,1,1,0,113,0,0.000895,0
29,,,normal,28222,27545,282,916,499,2,0,2,0,0,0,0,111,0.000043,0,0.000187
30,,,other,801,174,177,1853,13,0,1,1,2,0.666667,0.75,0,146,0,0.000001,0
32,,,other,61294,5885,2951,16721,123,0,2,2,1,1,1,0,97,0,0.000009,0
34,,,other,12168,242178,393,3263,1354,0,15,15,19,0.106073,0.149673,0,146,0,0.003682,0
36,,,other,69243,5757,6174,10022,21,0,1,1,1,1,1,0,137,0,0.00002,0
37,,,other,23730,19361,666,2660,1003,0,1,1,2,0.666667,0.75,0,146,0,0.000137,0
39,,,other,27486,187274,2597,16752,1432,0,16,16,3,0.675676,0.8,0,146,0,0.002736,0
41,,,other,5916,34362,123,187,1060,0,1,1,1,1,1,0,146,0,0.000077,0
42,,,other,3487,778,731,517,45,0,1,1,1,1,1,0,146,0,0.000025,0
44,,,normal,3101,2173,923,1193,11,2,1,3,19,0.090742,0.109313,0,27,0.000341,0.000004,0.000235
